model,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,support_0,support_1,tn,fp,fn,tp
RandomForest,0.9938612645794966,0.9992156862745099,0.9929851909586905,0.9960906958561376,0.9745762711864406,0.9971098265895953,0.9857142857142858,1283,346,1274,9,1,345
LogisticRegression,0.9846531614487416,0.9968404423380727,0.9836321122369447,0.9901922322479404,0.9421487603305785,0.9884393063583815,0.9647390691114246,1283,346,1262,21,4,342
DummyMostFrequent,0.7875997544505832,0.7875997544505832,1.0,0.8811813186813187,0.0,0.0,0.0,1283,346,1283,0,346,0
